,PLAYER_ID,full_name,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1,1628971,Bruce Brown,2019-20,00,1610612765,DET,23.0,58,43,1634.0,198,447,0.443,33,96,0.344,88,119,0.739,61,213,274,230,63,29,100,162,517
2,1628971,Bruce Brown,2020-21,00,1610612751,BKN,24.0,65,37,1451.0,235,423,0.556,17,59,0.288,86,117,0.735,111,238,349,104,58,28,54,145,573
3,1628971,Bruce Brown,2021-22,00,1610612751,BKN,25.0,72,45,1774.0,256,506,0.506,38,94,0.404,97,128,0.758,100,245,345,148,77,52,56,176,647
4,1628971,Bruce Brown,2022-23,00,1610612743,DEN,26.0,29,17,875.0,129,262,0.492,38,92,0.413,28,35,0.8,28,98,126,124,28,18,50,73,324
0,1627759,Jaylen Brown,2016-17,00,1610612738,BOS,20.0,78,20,1341.0,192,422,0.455,46,134,0.343,85,124,0.685,45,175,220,64,35,18,68,142,515
1,1627759,Jaylen Brown,2017-18,00,1610612738,BOS,21.0,70,70,2152.0,373,803,0.465,121,306,0.395,150,233,0.644,66,280,346,114,70,26,124,181,1017
2,1627759,Jaylen Brown,2018-19,00,1610612738,BOS,22.0,74,25,1913.0,368,792,0.465,95,276,0.344,133,202,0.658,65,248,313,100,69,32,99,186,964
3,1627759,Jaylen Brown,2019-20,00,1610612738,BOS,23.0,57,57,1934.0,427,887,0.481,129,338,0.382,176,243,0.724,62,302,364,118,65,20,125,167,1159
4,1627759,Jaylen Brown,2020-21,00,1610612738,BOS,24.0,58,58,1999.0,538,1111,0.484,163,411,0.397,191,250,0.764,71,276,347,195,72,32,158,168,1430
5,1627759,Jaylen Brown,2021-22,00,1610612738,BOS,25.0,66,66,2220.0,576,1217,0.473,166,464,0.358,241,318,0.758,53,351,404,231,70,18,178,163,1559
6,1627759,Jaylen Brown,2022-23,00,1610612738,BOS,26.0,29,29,1039.0,286,577,0.496,70,207,0.338,125,154,0.812,31,185,216,102,34,14,92,80,767
0,1631112,Kendall Brown,2022-23,00,1610612754,IND,19.0,6,0,40.0,4,7,0.571,0,1,0.0,1,2,0.5,2,4,6,3,4,0,2,9,9
0,1629650,Moses Brown,2019-20,00,1610612757,POR,20.0,9,0,33.0,4,10,0.4,0,0,0.0,3,8,0.375,3,11,14,1,1,1,3,7,11
