,PLAYER_ID,full_name,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
7,77700,Don Nelson,1969-70,00,1610612738,BOS,30.0,82,,2224.0,461,920,0.501,,,,337,435,0.775,,,601,148,,,,238,1259
8,77700,Don Nelson,1970-71,00,1610612738,BOS,31.0,82,,2254.0,412,881,0.468,,,,317,426,0.744,,,565,153,,,,232,1141
9,77700,Don Nelson,1971-72,00,1610612738,BOS,32.0,82,,2086.0,389,811,0.48,,,,356,452,0.788,,,453,192,,,,220,1134
10,77700,Don Nelson,1972-73,00,1610612738,BOS,33.0,72,,1425.0,309,649,0.476,,,,159,188,0.846,,,315,102,,,,155,777
11,77700,Don Nelson,1973-74,00,1610612738,BOS,34.0,82,,1748.0,364,717,0.508,,,,215,273,0.788,90.0,255.0,345,162,19.0,13.0,,189,943
12,77700,Don Nelson,1974-75,00,1610612738,BOS,35.0,79,,2052.0,423,785,0.539,,,,263,318,0.827,127.0,342.0,469,181,32.0,15.0,,239,1109
13,77700,Don Nelson,1975-76,00,1610612738,BOS,36.0,75,,943.0,175,379,0.462,,,,127,161,0.789,56.0,126.0,182,77,14.0,7.0,,115,477
0,2749,Jameer Nelson,2004-05,00,1610612753,ORL,23.0,79,21,1614.0,286,628,0.455,44,141,0.312,73,107,0.682,52,141,193,237,78,3,117,199,689
1,2749,Jameer Nelson,2005-06,00,1610612753,ORL,24.0,62,33,1784.0,347,719,0.483,70,165,0.424,141,181,0.779,39,141,180,302,70,9,148,174,905
2,2749,Jameer Nelson,2006-07,00,1610612753,ORL,25.0,77,77,2331.0,376,875,0.43,65,194,0.335,183,221,0.828,50,186,236,330,73,5,184,225,1000
3,2749,Jameer Nelson,2007-08,00,1610612753,ORL,26.0,69,62,1961.0,283,603,0.469,64,154,0.416,125,151,0.828,28,215,243,383,63,4,141,167,755
